,precision,recall,f1-score,support
Class 0,0.9378698224852071,0.9694189602446484,0.9533834586466166,654.0
Class 1,0.9746835443037974,0.9840255591054313,0.9793322734499205,313.0
Class 2,0.9910007199424046,0.9821619693185872,0.9865615481096578,2803.0
accuracy,0.980106100795756,0.980106100795756,0.980106100795756,0.980106100795756
macro avg,0.967851362243803,0.9785354962228889,0.9730924267353983,3770.0
weighted avg,0.9804291329631231,0.980106100795756,0.9802057832615606,3770.0
Other Species,0.008999280057595392,0.025853154084798345,0.01335113484646195,
