,precision,recall,f1-score,support
Class 0,0.7881219903691814,0.7542242703533026,0.7708006279434851,651.0
Class 1,0.7609756097560976,0.7878787878787878,0.7741935483870968,198.0
Class 2,0.8362068965517241,0.7158671586715867,0.7713717693836978,271.0
Class 3,0.8468468468468469,0.7768595041322314,0.8103448275862069,121.0
Class 4,0.8174904942965779,0.7992565055762082,0.8082706766917294,269.0
Class 5,0.9300699300699301,0.8664495114006515,0.897133220910624,307.0
Class 6,0.9307692307692308,0.711764705882353,0.8066666666666666,170.0
Class 7,0.9661488300728807,0.9790107861237974,0.9725372846179835,10291.0
accuracy,0.945756637888907,0.945756637888907,0.945756637888907,0.945756637888907
macro avg,0.8595787285915586,0.7989139037523648,0.8264148277734362,12278.0
weighted avg,0.9447080888503065,0.945756637888907,0.9448227924091386,12278.0
