class_name,mean_confidence,min_confidence,max_confidence,std_confidence
Class 0,0.9381565,0.38604748,1.0,0.119358994
Class 1,0.9373106,0.33466557,1.0,0.12919691
Class 2,0.9287879,0.39075476,1.0,0.12799348
Class 3,0.9545179,0.5048226,1.0,0.11094332
Class 4,0.9613364,0.43666914,1.0,0.09888664
Class 5,0.9747466,0.32938603,1.0,0.08836233
Class 6,0.9617021,0.50385433,1.0,0.106518745
Class 7,0.990552,0.3912097,1.0,0.050670803
