,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
Class 0,491,1,2,1,7,2,2,145
Class 1,6,156,8,1,2,0,0,25
Class 2,5,24,194,3,1,1,0,43
Class 3,1,0,1,94,0,1,0,24
Class 4,6,0,0,0,215,0,0,48
Class 5,7,2,0,1,0,266,0,31
Class 6,6,0,1,0,2,3,121,37
Class 7,101,22,26,11,36,13,7,10075
