Model,Num_Classes,Precision,Recall,F1_Score
3 Classes (0.20),3,0.0185429299586958,0.220250521920668,0.0342060468509362
4 Classes (0.30),4,0.0237000991258898,0.2139951179820992,0.0426740223916923
5 Classes (0.35),5,0.0289507652590816,0.2096128170894526,0.0508749189889825
6 Classes (0.40),6,0.0352406565890753,0.2240566037735849,0.0609023158906963
7 Classes (0.45),7,0.0368524960045125,0.210075026795284,0.0627049508118051
8 Classes (0.50),8,0.0337585115565359,0.1771514846502264,0.0567101659416787
10 Classes (0.55),10,0.0439104419996139,0.216254752851711,0.0729985560725172
14 Classes (0.60),14,0.0443504769397187,0.1985035211267605,0.0725022104332449
