,precision,recall,f1-score,support
Polistes dominula,1.0,0.8888888888888888,0.9411764705882353,27.0
Polydrusus formosus,1.0,1.0,1.0,6.0
Polygonia c-album,1.0,0.9473684210526315,0.972972972972973,19.0
Polyommatus icarus,1.0,0.8421052631578947,0.9142857142857143,19.0
Propylea quatuordecimpunctata,0.9166666666666666,1.0,0.9565217391304348,11.0
Pyralis farinalis,1.0,0.7692307692307693,0.8695652173913043,13.0
Pyrausta inornatalis,1.0,0.9090909090909091,0.9523809523809523,11.0
Pyronia tithonus,1.0,0.8571428571428571,0.9230769230769231,7.0
Pyrrhocoris apterus,0.8333333333333334,0.7692307692307693,0.8,13.0
Pyrrhosoma nymphula,0.8571428571428571,1.0,0.9230769230769231,6.0
Rhagonycha fulva,1.0,1.0,1.0,7.0
Rutpela maculata,1.0,0.8333333333333334,0.9090909090909091,6.0
Scathophaga stercoraria,1.0,0.5555555555555556,0.7142857142857143,9.0
Sceliphron caementarium,0.9024390243902439,0.6851851851851852,0.7789473684210526,54.0
Scoliopteryx libatrix,1.0,1.0,1.0,5.0
Sitochroa palealis,0.75,0.75,0.75,8.0
Sympetrum fonscolombii,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Sympetrum sanguineum,1.0,0.7142857142857143,0.8333333333333334,7.0
Sympetrum striolatum,0.6923076923076923,0.75,0.72,12.0
Syritta pipiens,1.0,0.75,0.8571428571428571,4.0
Tettigonia viridissima,1.0,1.0,1.0,5.0
Thaumetopoea pityocampa,1.0,1.0,1.0,5.0
Thymelicus lineola,1.0,0.96,0.9795918367346939,25.0
Trithemis annulata,1.0,1.0,1.0,6.0
Tyria jacobaeae,1.0,1.0,1.0,16.0
Vanessa atalanta,0.9104477611940298,0.19805194805194806,0.3253333333333333,308.0
Vanessa cardui,0.9629629629629629,0.9176470588235294,0.9397590361445783,170.0
Vespa crabro,0.9411764705882353,0.7619047619047619,0.8421052631578947,21.0
Vespula germanica,0.8,0.6666666666666666,0.7272727272727273,6.0
Vespula vulgaris,0.7692307692307693,1.0,0.8695652173913043,10.0
Xanthorhoe ferrugata,1.0,0.8888888888888888,0.9411764705882353,9.0
Zelus renardii,0.6923076923076923,0.8571428571428571,0.7659574468085106,21.0
accuracy,0.6854111405835543,0.6854111405835543,0.6854111405835543,0.6854111405835543
macro avg,0.9393772417307912,0.8535314455266259,0.8780833222305723,3770.0
weighted avg,0.8732871442526772,0.6854111405835543,0.7153284948854296,3770.0
