,precision,recall,f1-score,support
Class 0,0.7380239520958084,0.7572964669738863,0.7475360121304018,651.0
Class 1,0.8398268398268398,0.7158671586715867,0.7729083665338645,271.0
Class 2,0.8149606299212598,0.7695167286245354,0.7915869980879541,269.0
Class 3,0.9032258064516129,0.8208469055374593,0.8600682593856656,307.0
Class 4,0.9710492347409183,0.9769944341372913,0.9740127624156109,10780.0
accuracy,0.9511321062062225,0.9511321062062225,0.9511321062062225,0.9511321062062225
macro avg,0.8534172926072878,0.8081043387889517,0.8292224797106993,12278.0
weighted avg,0.950681882142369,0.9511321062062225,0.9507199501698088,12278.0
Other Species,0.02895076525908169,0.2096128170894526,0.0508749189889825,
