class_name,precision,recall,f1_score,support,accuracy
Class 0,0.7391304347826086,0.7572964669738863,0.7481031866464339,651.0,0.9729597654341098
Class 1,0.8398268398268398,0.7158671586715867,0.7729083665338645,271.0,0.9907151001791823
Class 2,0.8149606299212598,0.7695167286245354,0.7915869980879541,269.0,0.9911223326274637
Class 3,0.9032258064516129,0.8208469055374593,0.8600682593856656,307.0,0.9933213878481837
Class 4,0.9710519037521895,0.97708719851577,0.974060202524622,10780.0,0.954308519302818
