class_name,mean_confidence,min_confidence,max_confidence,std_confidence
Class 0,0.9435541,0.37097794,1.0,0.11648494
Class 1,0.9541758,0.48239145,1.0,0.108513676
Class 2,0.93932974,0.44992498,1.0,0.12918468
Class 3,0.9651927,0.51007694,1.0,0.10081694
Class 4,0.99151117,0.38531375,1.0,0.046390627
