,precision,recall,f1-score,support
Class 0,0.7391304347826086,0.7572964669738863,0.7481031866464339,651.0
Class 1,0.8398268398268398,0.7158671586715867,0.7729083665338645,271.0
Class 2,0.8149606299212598,0.7695167286245354,0.7915869980879541,269.0
Class 3,0.9032258064516129,0.8208469055374593,0.8600682593856656,307.0
Class 4,0.9710519037521895,0.97708719851577,0.974060202524622,10780.0
accuracy,0.9512135526958788,0.9512135526958788,0.9512135526958788,0.9512135526958788
macro avg,0.8536391229469021,0.8081228916646476,0.8293454026357081,12278.0
weighted avg,0.9507428930700944,0.9512135526958788,0.9507916747980119,12278.0
