class_name,precision,recall,f1_score,support,accuracy
Class 0,0.773095623987034,0.7327188940092166,0.7523659305993691,651.0,0.9744258022479231
Class 1,0.8875,0.7171717171717171,0.7932960893854749,198.0,0.9939729597654341
Class 2,0.8565400843881856,0.7490774907749077,0.7992125984251969,271.0,0.9916924580550578
Class 3,0.8642533936651584,0.7100371747211895,0.7795918367346939,269.0,0.9912037791171201
Class 4,0.9459459459459459,0.7980456026058632,0.8657243816254417,307.0,0.9938100667861215
Class 5,0.9647626112759644,0.9831789831789832,0.9738837405223252,10582.0,0.954552858771787
