,precision,recall,f1-score,support
Class 0,0.773095623987034,0.7327188940092166,0.7523659305993691,651.0
Class 1,0.8875,0.7171717171717171,0.7932960893854749,198.0
Class 2,0.8565400843881856,0.7490774907749077,0.7992125984251969,271.0
Class 3,0.8642533936651584,0.7100371747211895,0.7795918367346939,269.0
Class 4,0.9459459459459459,0.7980456026058632,0.8657243816254417,307.0
Class 5,0.9647626112759644,0.9831789831789832,0.9738837405223252,10582.0
accuracy,0.9498289623717218,0.9498289623717218,0.9498289623717218,0.9498289623717218
macro avg,0.8820162765437147,0.7817049770769796,0.8273457628820836,12278.0
weighted avg,0.9482928925646152,0.9498289623717218,0.9484097403599634,12278.0
