class_name,mean_confidence,min_confidence,max_confidence,std_confidence
Class 0,0.9430493,0.44482425,1.0,0.109469436
Class 1,0.9414655,0.4235538,1.0,0.11742214
Class 2,0.96940035,0.37314257,1.0,0.08773401
Class 3,0.99220616,0.44700888,1.0,0.04522118
