,precision,recall,f1-score,support
Class 0,0.7652582159624414,0.7511520737327189,0.7581395348837209,651.0
Class 1,0.8045977011494253,0.7749077490774908,0.7894736842105263,271.0
Class 2,0.900355871886121,0.8241042345276873,0.8605442176870748,307.0
Class 3,0.9762999008741101,0.980541225450267,0.9784159667660074,11049.0
accuracy,0.9599283270891025,0.9599283270891025,0.9599283270891025,0.9599283270891025
macro avg,0.8616279224680244,0.832676320697041,0.8466433508868324,12278.0
weighted avg,0.9594213986830206,0.9599283270891025,0.959618936085511,12278.0
