,precision,recall,f1-score,support
Mantis religiosa,0.18846153846153846,0.9423076923076923,0.3141025641025641,52.0
Sceliphron caementarium,0.2153846153846154,0.9333333333333333,0.35,45.0
Noctua pronuba,0.2170212765957447,0.9622641509433962,0.3541666666666667,53.0
Other,0.02040816326530612,0.006896551724137931,0.010309278350515464,51.0
micro avg,0.23142509135200975,0.945273631840796,0.37181996086105673,201.0
macro avg,0.24681991104558915,0.9447704117931643,0.3864354395604396,201.0
weighted avg,0.2471714340927638,0.945273631840796,0.386842117252565,201.0
