class_name,precision,recall,f1_score,support,accuracy
Mantis religiosa,0.18846153846153846,0.9423076923076923,0.3141025641025641,52.0,0.0
Sceliphron caementarium,0.2153846153846154,0.9333333333333333,0.35,45.0,0.0
Noctua pronuba,0.2170212765957447,0.9622641509433962,0.3541666666666667,53.0,0.0
Other,0.366412213740458,0.9411764705882353,0.5274725274725275,51.0,0.0
