,precision,recall,f1-score,support
Apis mellifera,0.9397944199706314,0.9815950920245399,0.9602400600150037,652.0
Vanessa atalanta,0.971875,0.9810725552050473,0.9764521193092621,317.0
Harmonia axyridis,0.9938605994944023,0.982506247768654,0.9881508078994614,2801.0
accuracy,0.9822281167108753,0.9822281167108753,0.9822281167108753,0.9822281167108753
macro avg,0.9685100064883446,0.9817246316660805,0.9749476624079092,3770.0
weighted avg,0.9826615055715311,0.9822281167108753,0.9823401203918329,3770.0
Other,0.0,0.0,0.0,
