,precision,recall,f1-score,support
Class 0,0.7718446601941747,0.7327188940092166,0.75177304964539,651.0
Class 1,0.8875,0.7171717171717171,0.7932960893854749,198.0
Class 2,0.8565400843881856,0.7490774907749077,0.7992125984251969,271.0
Class 3,0.8642533936651584,0.7100371747211895,0.7795918367346939,269.0
Class 4,0.9459459459459459,0.7980456026058632,0.8657243816254417,307.0
Class 5,0.9647593434109246,0.983084483084483,0.9738357126140884,10582.0
accuracy,0.9497475158820655,0.9497475158820655,0.9497475158820655,0.9497475158820655
macro avg,0.8818072379340648,0.7816892270612296,0.8272389447383809,12278.0
weighted avg,0.9482237479175226,0.9497475158820655,0.9483369111674237,12278.0
Other Species,0.035240656589075395,0.2240566037735849,0.06090231589069637,
