class_name,precision,recall,f1_score,support,accuracy
Class 0,0.7884615384615384,0.7557603686635944,0.7717647058823529,651.0,0.9762990715100179
Class 1,0.7609756097560976,0.7878787878787878,0.7741935483870968,198.0,0.992588369441277
Class 2,0.8362068965517241,0.7158671586715867,0.7713717693836978,271.0,0.9906336536895259
Class 3,0.8468468468468469,0.7768595041322314,0.8103448275862069,121.0,0.996416354455123
Class 4,0.8174904942965779,0.7992565055762082,0.8082706766917294,269.0,0.9916924580550578
Class 5,0.9300699300699301,0.8664495114006515,0.897133220910624,307.0,0.995031764130966
Class 6,0.9307692307692308,0.711764705882353,0.8066666666666666,170.0,0.9952761035999348
Class 7,0.9662414884434641,0.9790107861237974,0.9725842262766676,10291.0,0.953738393875224
