,precision,recall,f1-score,support
Class 0,0.7884615384615384,0.7557603686635944,0.7717647058823529,651.0
Class 1,0.7609756097560976,0.7878787878787878,0.7741935483870968,198.0
Class 2,0.8362068965517241,0.7158671586715867,0.7713717693836978,271.0
Class 3,0.8468468468468469,0.7768595041322314,0.8103448275862069,121.0
Class 4,0.8174904942965779,0.7992565055762082,0.8082706766917294,269.0
Class 5,0.9300699300699301,0.8664495114006515,0.897133220910624,307.0
Class 6,0.9307692307692308,0.711764705882353,0.8066666666666666,170.0
Class 7,0.9662414884434641,0.9790107861237974,0.9725842262766676,10291.0
accuracy,0.9458380843785633,0.9458380843785633,0.9458380843785633,0.9458380843785633
macro avg,0.8596327543994262,0.7991059160411513,0.8265412052231302,12278.0
weighted avg,0.9448037553350597,0.9458380843785633,0.9449132543205021,12278.0
Other Species,0.03375851155653592,0.17715148465022648,0.056710165941678756,
