class_name,precision,recall,f1_score,support,accuracy
Class 0,0.7142857142857143,0.7526881720430108,0.7329842931937173,651.0,0.9709236031927024
Class 1,0.8058823529411765,0.6919191919191919,0.7445652173913043,198.0,0.9923440299723082
Class 2,0.7862595419847328,0.7601476014760148,0.7729831144465291,271.0,0.9901449747515882
Class 3,0.75,0.43548387096774194,0.5510204081632653,62.0,0.996416354455123
Class 4,0.8863636363636364,0.6446280991735537,0.7464114832535885,121.0,0.9956833360482163
Class 5,0.8842592592592593,0.7100371747211895,0.7876288659793814,269.0,0.9916110115654015
Class 6,0.75,0.5,0.6,54.0,0.9970679263723734
Class 7,0.8966789667896679,0.788961038961039,0.8393782383419689,308.0,0.9924254764619644
Class 8,0.847682119205298,0.7529411764705882,0.7975077881619937,170.0,0.9947059781723407
Class 9,0.956089558000386,0.973756634558679,0.9648422282820412,10174.0,0.9411956344681545
