class_name,mean_confidence,min_confidence,max_confidence,std_confidence
Class 0,0.8503516,0.46190852,0.9998771,0.1729519
Class 1,0.7830941,0.28352326,0.9998542,0.19799288
Class 2,0.84083605,0.26897854,0.99996424,0.190554
Class 3,0.8186301,0.26628575,0.99999607,0.19391848
Class 4,0.87929934,0.49581954,0.9999664,0.15884233
Class 5,0.76475304,0.3594288,0.9997404,0.19691044
Class 6,0.82588667,0.45833316,1.0,0.1879783
Class 7,0.90752965,0.24989097,1.0,0.1692662
Class 8,0.9092546,0.47097197,0.9999808,0.14950866
Class 9,0.8825931,0.3521207,0.99999034,0.15856871
Class 10,0.79183805,0.36024606,0.9976362,0.20628932
Class 11,0.93670195,0.33589023,1.0,0.13844396
Class 12,0.8696517,0.3372963,0.99999976,0.19141135
Class 13,0.9534652,0.26124057,1.0,0.11026995
